account,name,link,bio
@tillgrallert@digitalcourage.social,Till Grallert,https://digitalcourage.social/@tillgrallert,"Till Grallert is a social and media historian of the Arabic-speaking Eastern Mediterranean from the 19th century to the present. He holds a PhD on the history of the streets of Damascus from Freie Universität Berlin (2014) and an MA from the School of Oriental and African Studies, University of London (SOAS, 2008). After many years at the Orient-Institut Beirut, Lebanon, where he worked on a genealogy of urban food riots as a repertoire of contention and the digital editing of material in under-resourced languages and with the affordances of the Global South, he joined Humboldt-University Berlin, to establish a prototypical scholarly makerspace for fostering digital tool literacy and experiment as a hermeneutical approach for the humanities. In 2023, he will join the University of Hamburg as Marie Skłodowska-Curie postdoctoral fellow to computationally investigate the ideoscape of early Arabic periodicals at scale."
@ottosmops@social.anoxinon.de,Andreas Kränzle,https://social.anoxinon.de/@ottosmops,currently developing http://anton.ch at http://k-r.ch and (digital) editing Karl Barth at University of Basel; president of e-editiones.org
@awinkler@openbiblio.social,Alexander Winkler,https://openbiblio.social/@awinkler,"Neo-Latinist, library and information studies, DH, openGLAM"
@grvsmth@lingo.lol,Angus Andrea Grieve-Smith,https://lingo.lol/@grvsmth,"Web dev and linguist studying the history of French, category fights and other fun"
@jjsylvia@mastodon.social,J.J. Sylvia IV,https://mastodon.social/@jjsylvia,"Assistant Professor of Communications Media. Coordinate Digital Media Innovation major. Research interests are big data, philosophy of information, and digital pedagogy. Assistant Editor at Journal of Posthumanism."
@AnujaCabraal@aus.social,Dr Anuja Cabraal,https://aus.social/@AnujaCabraal,"Specialises in qualitative research, qualitative methods and methodology, teaches how to use Qual software, shares info and supports researchers using all forms of qualtiative research. Multi disciplinary - if the method is qual, I'm interested!"
@ruralgloom@c.im,Damon Thomas,https://c.im/@ruralgloom,"Southern Gothic Realism. Flash Memoir both Spoken and Printed. Jacksonville, FL."
@acevedo@dizl.de,Juan Acevedo,https://dizl.de/@acevedo,"Post-doc in Hist.of Science at the University of Lisbon. I work on Iberian and Arabic manuscripts, and coordinate my team's DH work. We use Transkribus and are building a TEI-XML library of early modern nautical texts. For the Arabic, I use LaTeX & friends."
@walskaar@post.lurk.org,Thomas Walskaar,https://post.lurk.org/@walskaar,"Designer and research interesting in the human aspects of technology. From floppy disks to web archiving and pop culture. co-creator of the the book ""Floppy Disk Fever"""
@traviseross@fosstodon.org,Travis Ross,https://fosstodon.org/@traviseross,I'm a historian (PhD at the University of Utah) and informaticist (Yale School of Medicine postdoc). I'm an Assistant Professor of History creating a  humanities computing lab at George Fox University. Focused on the long game in integrating computing into the humanities as such.
@just_me_gi@mastodon.cloud ,,https://mastodon.cloud /@just_me_gi,
@essepuntato@scholar.social,Silvio Peroni,https://scholar.social/@essepuntato,"I am an Associate Professor in Computer Science at the Department of Classical Philology and Italian Studies, University of Bologna, proud member of the Digital Humanities Advanced Research Centre (/DH.arc) and director of OpenCitations, the Research Centre for Open Scholarly Metadata, and the second cycle degree in Digital Humanities and Digital Knowledge (DHDK)"
@pence@scholar.social,Charles Pence,https://scholar.social/@pence,DH in philosophy and history of science (HPS)
@konrad@social.coop,Konrad M. Lawson,https://social.coop/@konrad,"Lecturer in modern history at the University of St Andrews, teach a DH MLitt module."
@21c_aesthetics@mastodon.social,Mike Watson,https://mastodon.social/@21c_aesthetics,"Theorist/Critic/Writer, PhD Goldsmiths, bylines Jacobin, Radical Philosphy, Artforum"
@ayliu@fosstodon.org,Alan Liu,https://fosstodon.org/@ayliu,"Alan Liu is Distinguished Professor in the English Department at the University of California, Santa Barbara. He has published books on Wordsworth: The Sense of History; The Laws of Cool: Knowledge Work and the Culture of Information; Local Transcendence: Essays on Postmodern Historicism and the Database; and Friending the Past: The Sense of History in the Digital Age. Recent essays include “Toward a Diversity Stack: Digital Humanities and Diversity as Technical Problem."" A recent project he led was 4Humanities.org's ""WhatEvery1Says"" (WE1S), a digital humanities big-data initiative funded by the Mellon Foundation to understand public discourse about the humanities.Currently, Alan is leading a small project team in creating an online “Research + Activism (RAB) Bibliography” to showcase both “scholar activism” and research by other actors—including community organizations, NGOs, journalism organizations, artists, and others—engaged with urgent social, cultural, political, environmental, and other problems. (Watch for the public launch of the RAB project soon.) In 2022-2023, Alan is chairing the Modern Language Association’s Committee on Information Technology, which now is revising the MLA’s “Guidelines for Evaluating Work in Digital Humanities and Digital Media” partly to encourage universities and colleges to support scholars working in new online forms capable of reaching the public."
@openartdata@mastodon.art,Open Art Data,https://mastodon.art/@openartdata,"Art provenance research through open, easily accessible, searchable data bases. #museum #dataviz #semanticweb #nlp #lod #digitalhumanities #glam https://www.openartdata.org"
@guyintheblackhat@dice.camp,Evan Torner,https://dice.camp/@guyintheblackhat,"Associate Professor of German and Film & Media Studies at the University of Cincinnati, Director of the UC Game Lab. Father of 2. Bi. He/Him. Wears a hat."
@gekitsu@toot.cat,raphael kretz,https://toot.cat/@gekitsu,"DH M.A., all sorts of tech stuff for D. Hasse’s Arabic and Latin Glossary, dabbling in a bit of everything for myself. More code monkey than researcher."
@HxxxKxxx@det.social,Harald Klinke,https://det.social/@HxxxKxxx,Digitale Kunstgeschichte. Head of https://dahj.org/ @LMU_Muenchen #DigitalArtHistory #CodingDurer #AHinQuarantine #DAHSS22 #dasdigitaleBild #Digitalisierung
@profjohnharney@zirk.us,John Harney,https://zirk.us/@profjohnharney,"History Prof @ Centre College - interested in video games culture, student digital projects"
@andreamm@mastodon.social,Andrea Matwyshyn,https://mastodon.social/@andreamm,law & engineering design professor at Penn State; focus on tech bioethics and human flourishing/thriving; software safety and policy
@kacebe@scholar.social,Kai-Christian Bruhn ,https://scholar.social/@kacebe,computing archaeologist | director @_mainzed | affiliated to @i3mainz @hs_mainz @uni_Mainz
@pernajl@wien.rocks,Pernille Bogø Jørgensen,https://wien.rocks/@pernajl,"PhD student, linguistics @ Lancaster University. Enjoy music, dancing and bouldering in my spare time."
@christof@fedihum.org,Christof Schöch,https://fedihum.org/@christof,"Based in Trier. Digital Humanities, Computational Literary Studies, Open Science, JCLS, DHd, ADHO, etc.!"
@ste_santschi@mastodon.social,Stephanie Santschi,https://mastodon.social/@ste_santschi,PhD Candidate on Hokusai's Painting Manuals. Project Coordinator at Swiss Art Research Infrastructure.
@nrchtct@vis.social,Marian Dörk,https://vis.social/@nrchtct,Research professor for data visualization at FH Potsdam and co-director of UCLAB
@lawrenceevalyn@zirk.us,Lawrence Evalyn,https://zirk.us/@lawrenceevalyn,Visiting Assistant Professor of English at Northeastern. Histories of digitization; 18thC lit; queer/trans video games
@julsraemy@hcommons.social,Julien A. Raemy,https://hcommons.social/@julsraemy,"PhD Candidate in Digital Humanities at the University of Basel. Doing my thesis on Linked Open Usable Data (LOUD) such as IIIF, the Web Annotation Data Model and Linked Art. Also working as an Interoperability Specialist for DaSCH, Swiss National Data and Service Center for the Humanities. I studied Library and Information Science before DH."
@electricarchaeo@scholar.social,Shawn Graham ,https://scholar.social/@electricarchaeo,"Prof, Carleton U. Archaeologist."
@moncur_d@ausglam.space,Doug Moncur,https://ausglam.space/@moncur_d,Volunteer curator for National Trust currently working on C19 pharmacy related material
@annakijas@mstdn.social,Anna Kijas,https://mstdn.social/@annakijas,"Music librarian and historian, digital humanist, interested in music encoding, music, identity, and gender, open-source tools and minimal computing."
@aaronm@mastodon.cc,Aaron Macks,https://mastodon.cc/@aaronm,I build linked data from Books of Hours and track Vatican digitization progress
@yrochat@mathstodon.xyz,Yannick Rochat,https://mathstodon.xyz/@yrochat,"Assistant Professor in Video Game Studies at the Faculty of Arts of University of Lausanne. Interested in game design, video game preservation, local histories, digital humanities."
@jamiefolsom@mastodon.cloud,Jamie Folsom,https://mastodon.cloud/@jamiefolsom,Making software for the digital humanities at Performant Software.
@josch@chaos.social,Joachim Scharloth,https://chaos.social/@josch,"digital linguist, data-driven discourse analysis, corpus pragmaticsprof at waseda university, tokyoresearch on: invectivity, hate speech, social movements, 1968, new right, radicalization, language in politics"
@ekansa@scholar.social,Eric Kansa,https://scholar.social/@ekansa,"Trying to do right with #OpenScience & open #archaeology, humanities, ethics, democracy"
@jkramersmyth@digipres.club,Jeanne Kramer-Smyth ,https://digipres.club/@jkramersmyth,"Author, artist, & creative geek w/a passion for intersection of archives & technology."
@amardeepmsingh@mas.to,Amardeep Singh,https://mas.to/@amardeepmsingh,I teach at Lehigh University and do digital collections
@tjowens@digipres.club,Trevor Owens,https://digipres.club/@tjowens,"I'm the Director of Digital Services at the Library of Congress, a Public Historian in Residence at American University, and a Lecturer for the University of Maryland’s College of Information, and as a Research Affiliate with the Center for Archival Futures."
@type@literatur.social,Stephan Kurz,https://literatur.social/@type,"Digital scholarly edition / DH researcher and technologist based in Vienna, Austria"
@msiemund@openbiblio.social,Melanie Seltmann,https://openbiblio.social/@msiemund,#SciComm #DH #LIS #NFDI #DigitalEditions #Annotation #PublicHumanities #CitizenScience #PublicDH
@pbinkley@code4lib.social,Peter Binkley,https://code4lib.social/@pbinkley,"Digital Scholarship Technologies Librarian in Digital Scholarship Centre at U of Alberta; digital librarian since Y2K or so; before that, Ph.D. in Medieval Studies (Latin lit)"
@elotroalex@hcommons.social,Alex Gil,https://hcommons.social/@elotroalex,Veteran hummingbird
@ryancordell@hcommons.social,Ryan Cordell,https://hcommons.social/@ryancordell,
@shakespearenut@mastodon.nz,Jess Torley,https://mastodon.nz/@shakespearenut,"NZ high school teacher of English, NPDL Deep Learning geek, Manaiakalani outreach school, GAFE, 1:1 Chromebooks. Also writer, NaNoWriMo wannabe, US & NZ politics, cricket, cats, books, literature, and of course, that dead white guy: Shakespeare."
@pam@hcommons.social ,Pam Lach,https://hcommons.social /@pam,I'm the Digital Humanities Librarian at San Diego State University (occupying Kumeyaay land). I'm director of the DH Center in SDSU University Library and Co-Direct the Digital Humanities Initiative at SDSU. She/her/hers
@whanley@scholar.social,Will Hanley,https://scholar.social/@whanley,"I'm a socio-legal historian of Egypt and the Ottoman empire, late 19th early 20th. I'm working on historical periodicals, linked open data, etc etc."
@stefanlaser@social.tchncs.de,Stefan Laser,https://social.tchncs.de/@stefanlaser,"I‘m a social scientist turning to digital methods to enrich qualitative analyses of public controversies, especially on social media. #sts #ant #mappingofcontroversies"
@snowka@scholar.social,Scott Nowka,https://scholar.social/@snowka,Professor of English. I study literature of eighteenth-century England and am currently at work on a digital edition titled The Works of Charles Gildon: A Digital Documentary Edition.
@RonaldVisser@akademienl.social,Ronald Visser,https://akademienl.social/@RonaldVisser,Digital Archaeology and Dendrochronology
@owlyph@cosocial.ca,Joshua Chalifour,https://cosocial.ca/@owlyph,"Digital Scholarship, Journalism and Communication Studies Librarian"
@luggage@benehomini.social,James (Jim) Smith,https://benehomini.social/@luggage,"I spent a few years supporting DH as a software engineer at Texas A&M University and at UMD MITH. Since then, I've been in private companies and public positions, but I've kept an interest in DH. I'm currently a Principal Software Engineer at Improbable US Defense and National Security. I teach a course or two at DHSI each summer."
@stefandumont@openbiblio.social,Stefan Dumont,https://openbiblio.social/@stefandumont,"Researcher and developer in the Digital Humanities at TELOTA / BBAW (Berlin, Germany)"
@stribley@journa.host,Robert Stribley,https://journa.host/@stribley,"Creative Director, UX. Writer. Photographer. Teacher. Immigrant. Aussie/American. He/him."
@epyllia@indieweb.social,Elisa Beshero-Bondar,https://indieweb.social/@epyllia,"Adventurer in Digital Humanities. Builds, analyzes, visualizes, activates w/ #TEI and #XSLT. Prof of DH | Program Chair: DIGIT at Penn State Behrend (she/they)"
@BlckheathHopper@archaeo.social,Jeremy Huggett,https://archaeo.social/@BlckheathHopper,Digital archaeologist
@JubalBarca@Scholar.Social,James Baillie,https://Scholar.Social/@JubalBarca,"Scholar focused on prosopography & modelling of person data and databases, core topic being high medieval Georgia. Also interested in linking DH & game studies and currently working on a digital repository/archive project for Caucasus history."
@jcpeyssard@hcommons.social,Jean-Christophe Peyssard,https://hcommons.social/@jcpeyssard,"Academic Librarian at Maison méditerranéenne des sciences de l'Homme (MMSH), Aix Marseille University - CNRS, DH, MENA, Arabic, Web archiving"
@josh@fediscience.org,Josh Wells,https://fediscience.org/@josh,Professor of Anthropology and Social Informatics at Indiana University South Bend. PI of Digital Index of North American Archaeology (DINAA). #anthropology #archaeology #civictech #cyborg #cyborganthropology #digiarch #digitalarchaeology #digitalhumanities #dh #FOSS #GIS #informatics #openScience #openData #openGov
@anwagnerdreas@hcommons.social,Andreas Wagner,https://hcommons.social/@anwagnerdreas,"DH Coordinator at @mpilhlt. Interested in everything DH, in particular legal history, legal theory, philosophy. Also member of @salamancaschool team."
@grantimatter@mstdn.social,grantimatter,https://mstdn.social/@grantimatter,Not too bad.
@mia@hcommons.social ,Mia,https://hcommons.social /@mia,"Digital curator at British Library, Co-Investigator Living with Machines"
@roopikarisam@mastodon.social,Roopika Risam,https://mastodon.social/@roopikarisam,"Associate Prof. of many things at Dartmouth, editor of Reviews in Digital Humanities, Principal Investigator of the Digital Ethnic Futures Consortium"
@BridgetAlmas@mstdn.social,Bridget Almas,https://mstdn.social/@BridgetAlmas,Former DH developer. Currently Director of Data Innovation Strategy at SUNY
@fpianz@mstdn.social,Federico Pianzola ,https://mstdn.social/@fpianz,"https://federicopianzola.meI teach and do research in Computational Humanities at the University of Groningen ERC StG ""Graphs and Ontologies for Literary Evolution Models"" (GOLEM)"
@anindita@mastodon.xyz,Anindita Basu Sempere,https://mastodon.xyz/@anindita,"PhD candidate at the Université de Neuchâtel. Interests include: place, poetics, digital humanities, deep mapping, Elizabeth Bishop, and children's literature. Creative writing instructor."
@peterwebster@mastodon.social,Peter Webster,https://mastodon.social/@peterwebster,"Historian of contemporary British religion. Interested in Web and other born-digital archives; historical networks, of people, organisations and publications; Open Access, open source, citation, peer review, infrastructures, policy."
@jwyg@post.lurk.org,jonathan w. y. gray,https://post.lurk.org/@jwyg,"Jonathan W. Y. Gray is Senior Lecturer (Associate Professor) in Critical Infrastructure Studies at the Department of Digital Humanities, King’s College London, where he is currently writing a book on data worlds. He is also Cofounder of the Public Data Lab and Research Associate at the Digital Methods Initiative (University of Amsterdam) and the médialab (Sciences Po, Paris). More about his work can be found at jonathangray.org."
@corsent@mastodon.social,Tony Corsentino,https://mastodon.social/@corsent,"Librarian, former philosophy professor"
